Feature,Importance
temp_trend_5,2951
temperature_anomaly_lag_5,2865
Total_GHG,1162
Year,828
Temp_Moving_Avg,401
rolling_co2_5,165
rolling_temp_3,128
Population,108
co2_lag_1,89
temperature_anomaly_lag_1,84
CO2_Emissions,77
temperature_anomaly_lag_3,70
rolling_temp_5,70
